Ind1	Ind2	R	LnL(R)		U	HS	FS	PO
ESSR23 	ESSR07 	U	-59.67		-	0.78	4.35	9999
ESSR23 	ESSR08 	U	-64.05		-	3.23	8.22	9999
ESSR23 	ESSR09 	U	-64.43		-	0.96	4.89	9999
ESSR23 	ESSR10 	U	-55.76		-	3.30	6.97	9999
ESSR23 	ESSR11 	U	-62.03		-	1.17	5.06	9999
ESSR23 	ESSR12 	HS	-66.11		0.07	-	3.03	9999
ESSR23 	ESSR13 	U	-51.68		-	3.38	7.08	9999
ESSR23 	ESSR14 	U	-70.49		-	5.80	11.28	9999
ESSR23 	ESSR15 	U	-53.18		-	2.99	6.47	9999
ESSR23 	ESSR16 	U	-64.25		-	2.20	5.87	9999
ESSR23 	ESSR17 	U	-67.89		-	2.53	6.55	9999
ESSR23 	ESSR21 	U	-65.98		-	1.36	5.03	9999
ESSR23 	ESSR22 	FS	-66.05		1.37	0.56	-	9999
ESSR24 	ESSR18 	U	-51.33		-	1.05	3.86	9999
ESSR24 	ESSR19 	U	-59.86		-	2.16	5.78	9999
ESSR24 	ESSR20 	U	-55.72		-	1.21	4.13	9999
ESSR24 	ESSR01 	U	-55.29		-	3.19	7.62	9999
ESSR24 	ESSR02 	HS	-54.56		0.26	-	2.10	9999
ESSR24 	ESSR03 	HS	-54.76		1.25	-	1.97	9999
ESSR24 	ESSR04 	HS	-57.02		1.25	-	2.01	9999
ESSR24 	ESSR05 	U	-50.55		-	2.33	6.46	9999
ESSR24 	ESSR06 	U	-62.99		-	2.65	6.72	9999
ESSR24 	ESSR07 	U	-51.87		-	0.89	3.76	9999
ESSR24 	ESSR08 	U	-56.25		-	3.11	7.48	9999
ESSR24 	ESSR09 	FS	-50.32		6.31	1.23	-	9999
ESSR24 	ESSR10 	U	-45.51		-	3.09	6.92	9999
ESSR24 	ESSR11 	HS	-52.79		1.44	-	0.69	9999
ESSR24 	ESSR12 	U	-58.37		-	2.54	5.89	9999
ESSR24 	ESSR13 	U	-43.29		-	0.02	1.72	9999
ESSR24 	ESSR14 	U	-62.69		-	4.41	9.99	9999
ESSR24 	ESSR15 	U	-44.79		-	0.65	3.65	9999
ESSR24 	ESSR16 	U	-56.45		-	2.29	5.91	9999
ESSR24 	ESSR17 	U	-60.09		-	4.33	9.21	9999
ESSR24 	ESSR21 	U	-57.61		-	3.20	7.78	9999
ESSR24 	ESSR22 	U	-59.61		-	0.17	3.63	9999
ESSR24 	ESSR23 	U	-64.54		-	3.40	8.10	9999
ESSR25 	ESSR18 	U	-57.45		-	3.80	8.60	9999
ESSR25 	ESSR19 	U	-65.98		-	1.94	6.27	9999
ESSR25 	ESSR20 	U	-61.85		-	0.18	3.38	9999
ESSR25 	ESSR01 	U	-61.41		-	0.65	4.01	9999
ESSR25 	ESSR02 	HS	-60.00		0.94	-	3.02	9999
ESSR25 	ESSR03 	U	-62.13		-	0.48	2.96	9999
ESSR25 	ESSR04 	U	-64.40		-	3.87	8.71	9999
